FKName|ChildTable|ChildColumn|ParentTable|ParentColumn
------|----------|-----------|-----------|------------
FK__Asistenci__IdEmp__6B7099F3|Asistencia|IdEmpleado|Empleado|IdEmpleado
FK__Capacitac__IdEmp__6A7C75BA|Capacitacion|IdEmpleado|Empleado|IdEmpleado
FK__Comportam__IdEmp__68942D48|Comportamiento|IdEmpleado|Empleado|IdEmpleado
FK__Empleado___IdEmp__5087998D|Empleado_Area|IdEmpleado|Empleado|IdEmpleado
FK__Empleado__5A460DF1|Empleado|idAreaOrganiz|EstructOrganiz|idAreaOrganiz
FK__Empleado__5A460DF1|Empleado|Year|EstructOrganiz|Year
FK__Empleado__IdAFP__5769A146|Empleado|IdAFP|AFP|IdAFP
FK__Empleado__IdCarg__52A4EC29|Empleado|IdCargo|Cargo|IdCargo
FK__Empleado__IdDisc__51B0C7F0|Empleado|IdDiscapacidad|Discapacidad|IdDiscapacidad
FK__Empleado__IdEsta__56757D0D|Empleado|IdEstadoCivil|EstadoCivil|IdEstadoCivil
FK__Empleado__idHora__4DE0370C|Empleado|idHorario|Horario|idHorario
FK__Empleado__IdNaci__4FC87F7E|Empleado|IdNacionalidad|Nacionalidad|IdNacionalidad
FK__Empleado__IdPers__585DC57F|Empleado|IdPersona|Persona|IdPersona
FK__Empleado__IdRegi__4ED45B45|Empleado|IdRegimenPen|RegimenPension|IdRegimenPen
FK__Empleado__IdTipo__53991062|Empleado|IdTipoTrabajador|TipoTrabajador|IdTipoTrabajador
FK__Empleado__IdTipo__548D349B|Empleado|IdTipoSangre|TipoSangre|IdTipoSangre
FK__Empleado__IdVive__50BCA3B7|Empleado|IdViveCon|ViveCon|IdViveCon
FK__ExpLabora__IdEmp__65B7C09D|ExpLaboral|IdEmpleado|Empleado|IdEmpleado
FK__Familiar__IdEmpl__64C39C64|Familiar|IdEmpleado|Empleado|IdEmpleado
FK__Marcacion__IdEmp__70354F10|Marcacion|IdEmpleado|Empleado|IdEmpleado
FK__PeriodoLa__IdEmp__38B00FFC|PeriodoLaboral|IdEmpleado|Empleado|IdEmpleado
FK__Permiso__IdEmple__5A9B13AC|Permiso|IdEmpleado|Empleado|IdEmpleado
FK__Permiso__idMotiv__59A6EF73|Permiso|idMotivo|Motivo_Perm|idMotivo
FK__Rol_Acces__IdRol__766D4B53|Rol_Acceso|IdRol|Rol|IdRol
FK__Rol_Acces__IdSis__7579271A|Rol_Acceso|IdSistemaOpcion|SistemaOpcion|IdSistemaOpcion
FK__RRHH_AspS__IdEmp__61E72FB9|RRHH_AspSocio|IdEmpleado|Empleado|IdEmpleado
FK__RRHH_Dina__IdEmp__60F30B80|RRHH_DinamicaFamiliar|IdEmpleado|Empleado|IdEmpleado
FK__RRHH_Func__IdEmp__5FFEE747|RRHH_FuncFam|IdEmpleado|Empleado|IdEmpleado
FK__RRHH_Salu__IdEmp__5F0AC30E|RRHH_Salud|IdEmpleado|Empleado|IdEmpleado
FK__TitulosEm__IdEmp__5E169ED5|TitulosEmpleado|IdEmpleado|Empleado|IdEmpleado
FK__Usuario__IdEmple__5C2E5663|Usuario|IdEmpleado|Empleado|IdEmpleado
FK__Usuario_R__IdRol__6B65ACFB|Usuario_Rol|IdRol|Rol|IdRol
FK__Usuario_R__IdUsu__6C59D134|Usuario_Rol|IdUsuario|Usuario|IdUsuario
FK__Vivienda__IdEmpl__5B3A322A|Vivienda|IdEmpleado|Empleado|IdEmpleado
FK_Empleado_aspnet_Users|Empleado|Userid|aspnet_Users|UserId
FK_Empleado_Local|Empleado|idLocal|Local|idLocal
FK_EstudiosRealizado_Empleado|EstudiosRealizado|IdEmpleado|Empleado|IdEmpleado
FK_HorarioTemporal_Empleado|HorarioTemporal|idEmpleado|Empleado|IdEmpleado
FK_Resolucion_Empleado|Resolucion|idEmpleado|Empleado|IdEmpleado
FK_Rotacion_Empleado|Rotacion|idEmpleado|Empleado|IdEmpleado
FK_RRHH_Asegurados_Empleado|RRHH_Asegurado|idEmpleado|Empleado|IdEmpleado
